adjective_ratio,adverbs,content_words,flesch,function_words,sentences_per_paragraph,syllables_per_content_word,words_per_sentence,noun_ratio,paragraphs,sentences,words,pronoun_ratio,verbs,logic_operators,and_ratio,if_ratio,or_ratio,negation_ratio,cw_freq,cw_freq_brwac,cw_freq_bra,min_cw_freq,min_cw_freq_brwac,min_freq_brwac,min_cw_freq_bra,min_freq_bra,freq_brwac,freq_bra,hypernyms_verbs,brunet,honore,personal_pronouns,ttr,conn_ratio,add_neg_conn_ratio,add_pos_conn_ratio,cau_neg_conn_ratio,cau_pos_conn_ratio,log_neg_conn_ratio,log_pos_conn_ratio,tmp_neg_conn_ratio,tmp_pos_conn_ratio,adjectives_ambiguity,adverbs_ambiguity,nouns_ambiguity,verbs_ambiguity,yngve,frazier,dep_distance,cross_entropy,content_density,adjacent_refs,anaphoric_refs,adj_arg_ovl,arg_ovl,adj_stem_ovl,stem_ovl,adj_cw_ovl,lsa_adj_mean,lsa_adj_std,lsa_all_mean,lsa_all_std,lsa_paragraph_mean,lsa_paragraph_std,lsa_givenness_mean,lsa_givenness_std,lsa_span_mean,lsa_span_std,negative_words,positive_words,ratio_function_to_content_words,grade,index_text
0.10943,0.04906,0.6,-4.4883,0.4,1.0,3.10692,53.0,0.28679,5,5,265,0.05283,0.15472,0.05283,0.04151,0.00377,0.0,0.01132,342324.20126,4.61542,4.95036,3208.2,1.2544,1.0846,2.5818,1.9996,5.45184,5.68104,0.46154,10.92499,1177.00514,0.00536,0.75325,0.10943,0.00377,0.06415,0.00377,0.04528,0.00755,0.04151,0.0,0.00755,2.32143,1.7,3.09589,11.97222,3.90364,8.3,205.2,0.47419,1.5,0.75,0.75,1.25,1.4,4.25,3.7,1.75,0.88021,0.02364,0.86147,0.0,0.88021,0.02364,0.89799,0.03954,0.90279,0.03718,0.16981,0.5283,0.66667,"[0, 0, 0, 0, 0, 0]",0
0.06349,0.03704,0.54497,56.55086,0.45503,1.6,2.53398,23.625,0.29101,5,8,189,0.10053,0.15344,0.03175,0.02646,0.0,0.0,0.00529,630490.97087,4.3759,4.80805,1792.5,1.59287,1.59287,1.99462,1.99462,5.42024,5.72813,0.35714,10.79509,1050.67468,0.0,0.746,0.12169,0.01058,0.07937,0.0,0.06878,0.0,0.06349,0.0,0.01587,2.75,3.0,1.5,10.95833,2.42852,7.1875,55.5,0.58509,1.19767,0.0,0.0,1.42857,0.85714,1.57143,1.03571,1.14286,0.76234,0.12179,0.77626,0.08589,0.91096,0.03603,0.84602,0.11951,0.85994,0.1186,0.3301,0.28155,0.83495,"[0, 0, 0, 0, 0, 0]",1
0.03306,0.05372,0.50413,19.32222,0.49587,1.66667,2.90164,48.4,0.22314,3,5,242,0.14463,0.19421,0.05785,0.04132,0.00413,0.00413,0.0124,402046.77049,4.95016,4.94202,1934.0,3.1164,2.8704,3.2852,3.2852,5.77354,5.81228,0.38298,11.51138,748.40715,0.01622,0.69308,0.13636,0.00413,0.07438,0.0,0.06612,0.00413,0.05372,0.0,0.0124,5.5,2.55556,3.13208,9.04762,3.35304,7.6,147.4,0.49358,1.01667,1.25,7.25,5.5,4.6,5.25,5.3,4.25,0.92831,0.04009,0.93215,0.04441,0.97076,0.00682,0.94362,0.04204,0.9458,0.04324,0.38525,0.63934,0.98361,"[0, 0, 0, 0, 0, 0]",2
0.02198,0.02747,0.51648,32.46263,0.48352,1.25,2.89362,36.4,0.28571,4,5,182,0.09341,0.18132,0.06593,0.04945,0.0,0.0,0.01099,274351.51064,4.60787,4.76554,2730.6,2.1362,1.7936,2.7588,2.4784,5.57071,5.7101,0.59375,10.25769,1345.76978,0.01145,0.79964,0.0989,0.00549,0.06593,0.0,0.03846,0.0,0.02747,0.0,0.00549,4.75,1.25,4.0,11.28125,3.0373,7.4,88.8,0.50112,1.06818,1.25,3.75,0.5,0.5,0.5,1.0,0.25,0.83098,0.06276,0.86254,0.0,0.91654,0.01821,0.89787,0.0489,0.90275,0.04441,0.41489,0.38298,0.93617,"[0, 0, 0, 0, 0, 0]",3
0.03676,0.05147,0.56618,39.21069,0.43382,2.0,2.8961,22.66667,0.27941,3,6,136,0.10294,0.19853,0.03676,0.01471,0.0,0.0,0.02206,412667.38961,4.64991,4.71814,2404.33333,2.705,2.35517,2.92917,2.92817,5.51085,5.60577,0.64,10.02913,1306.79258,0.0,0.76892,0.07353,0.0,0.02206,0.00735,0.04412,0.00735,0.02941,0.0,0.01471,2.75,1.0,3.94118,10.32,2.85929,7.58333,44.66667,0.51896,1.30508,0.0,0.0,0.6,0.73333,1.0,1.13333,0.4,0.8327,0.04087,0.84544,0.06148,0.93526,0.00855,0.89367,0.04393,0.90113,0.04859,0.36364,0.44156,0.76623,"[0, 0, 0, 0, 0, 0]",4
0.07251,0.03625,0.58912,38.03818,0.41088,4.4,3.11282,15.04545,0.30816,5,22,331,0.0574,0.17221,0.04532,0.03323,0.0,0.00604,0.00604,167297.13846,4.25367,4.38084,1563.27273,2.45223,2.45223,2.611,2.611,5.32051,5.41369,0.98039,11.0991,1133.9226,0.0044,0.75724,0.06344,0.00604,0.03927,0.0,0.01813,0.0,0.01208,0.0,0.00906,2.31818,1.77778,2.78788,6.64444,2.48696,7.34091,27.77273,0.60938,1.43382,0.2381,1.09524,0.19048,0.17749,0.42857,0.27706,0.33333,0.76951,0.10233,0.74454,0.09586,0.91777,0.02494,0.83877,0.07539,0.87372,0.07507,0.35897,0.37949,0.69744,"[200, 200, 200, 200, 200, 1000]",5
0.12676,0.03521,0.56338,-8.32523,0.43662,1.5,3.2875,47.33333,0.28169,2,3,142,0.10563,0.11972,0.02817,0.02113,0.0,0.0,0.0,410626.275,4.49631,4.71685,34.66667,1.15767,1.15767,2.046,2.046,5.37575,5.54761,0.5625,9.89749,1354.6756,0.01,0.80256,0.07042,0.01408,0.04225,0.0,0.03521,0.00704,0.02113,0.0,0.00704,4.33333,3.5,3.86486,8.25,3.68051,9.0,163.0,0.45075,1.29032,1.5,1.5,3.0,2.0,6.0,5.0,4.0,0.93878,0.01231,0.93677,0.0,0.96,0.0,0.94554,0.00556,0.94625,0.00485,0.2,0.75,0.775,"[80, 40, 40, 0, 0, 160]",6
0.08,0.09333,0.60333,34.479,0.39667,2.8,2.90055,21.42857,0.22667,5,14,300,0.1,0.20333,0.05333,0.03,0.00333,0.00333,0.01333,523791.77901,4.91603,4.95851,9062.21429,3.21236,3.21236,3.344,3.344,5.62355,5.67763,0.71698,11.18612,925.12896,0.00294,0.77756,0.11,0.01,0.04667,0.0,0.04333,0.0,0.03,0.0,0.02,4.5,2.56,3.68657,9.05769,2.63032,7.96429,54.64286,0.55703,1.52101,0.15385,1.61538,0.61538,0.40659,1.76923,1.08791,1.30769,0.84341,0.09072,0.8407,0.07796,0.94827,0.01861,0.89968,0.04753,0.92286,0.03444,0.20442,0.50829,0.65746,"[80, 80, 80, 120, 80, 440]",7
0.04016,0.10843,0.57831,8.97655,0.42169,1.33333,2.54861,62.25,0.18474,3,4,249,0.16064,0.24498,0.06827,0.02008,0.00803,0.00402,0.03614,595724.89583,5.13103,5.07246,311.75,2.38675,2.38675,2.3495,2.3495,5.7392,5.72304,0.50847,11.80176,653.96274,0.03993,0.68887,0.10442,0.01205,0.03213,0.0,0.05221,0.00402,0.05221,0.0,0.01606,6.22222,1.42857,2.72727,7.47368,3.81483,8.5,208.0,0.48777,1.37143,6.33333,14.33333,5.66667,6.5,12.66667,17.33333,9.0,0.96099,0.01013,0.95708,0.0,0.97484,0.00023,0.96766,0.01017,0.96819,0.01035,0.1875,0.53472,0.72917,"[120, 120, 80, 160, 40, 520]",8
0.06863,0.02288,0.5719,21.54072,0.4281,1.83333,3.17714,27.81818,0.33987,6,11,306,0.10458,0.14052,0.05882,0.05229,0.0,0.00327,0.00327,309656.33714,4.65508,4.86505,5223.36364,2.42764,2.42764,3.22809,3.22809,5.5558,5.70157,0.525,10.95464,1165.92172,0.00966,0.79647,0.09804,0.0,0.05882,0.0,0.03922,0.0,0.01961,0.0,0.00327,2.66667,2.25,2.89796,9.15789,3.01595,7.90909,78.72727,0.48487,1.33588,0.7,2.5,0.3,0.67273,1.3,0.92727,0.6,0.82718,0.06692,0.81622,0.03227,0.89211,0.04851,0.8767,0.0586,0.89929,0.05423,0.13143,0.48571,0.74857,"[120, 120, 80, 120, 160, 600]",9
