adjective_ratio,adverbs,content_words,flesch,function_words,sentences_per_paragraph,syllables_per_content_word,words_per_sentence,noun_ratio,paragraphs,sentences,words,pronoun_ratio,verbs,logic_operators,and_ratio,if_ratio,or_ratio,negation_ratio,cw_freq,cw_freq_brwac,cw_freq_bra,min_cw_freq,min_cw_freq_brwac,min_freq_brwac,min_cw_freq_bra,min_freq_bra,freq_brwac,freq_bra,hypernyms_verbs,brunet,honore,personal_pronouns,ttr,conn_ratio,add_neg_conn_ratio,add_pos_conn_ratio,cau_neg_conn_ratio,cau_pos_conn_ratio,log_neg_conn_ratio,log_pos_conn_ratio,tmp_neg_conn_ratio,tmp_pos_conn_ratio,adjectives_ambiguity,adverbs_ambiguity,nouns_ambiguity,verbs_ambiguity,yngve,frazier,dep_distance,cross_entropy,content_density,adjacent_refs,anaphoric_refs,adj_arg_ovl,arg_ovl,adj_stem_ovl,stem_ovl,adj_cw_ovl,lsa_adj_mean,lsa_adj_std,lsa_all_mean,lsa_all_std,lsa_paragraph_mean,lsa_paragraph_std,lsa_givenness_mean,lsa_givenness_std,lsa_span_mean,lsa_span_std,negative_words,positive_words,ratio_function_to_content_words,grade,index_text
0.05495,0.05495,0.54396,12.01548,0.45604,1.5,2.72727,60.66667,0.25824,2,3,182,0.14286,0.17582,0.03297,0.02198,0.00549,0.0,0.00549,386386.63636,4.79318,4.78207,31.33333,0.837,0.837,0.703,0.703,5.6629,5.67751,0.19355,10.22779,1491.64712,0.02229,0.78482,0.06593,0.01099,0.02198,0.0,0.02747,0.0,0.02198,0.0,0.00549,5.6,3.125,3.15909,11.1,3.7848,7.66667,252.66667,0.50449,1.19277,0.0,0.0,0.0,3.66667,0.0,3.33333,0.0,0.86018,0.00514,0.87483,0.0,0.91447,0.0,0.8899,0.02457,0.8905,0.02517,0.34343,0.49495,0.83838,"[0, 0, 0, 0, 0, 0]",0
0.07107,0.03553,0.58883,34.88631,0.41117,2.0,2.91379,24.625,0.30457,4,8,197,0.04569,0.17766,0.05076,0.01523,0.00508,0.01015,0.01015,383856.31897,4.58664,4.80652,3108.5,1.93837,1.80312,2.56625,2.56625,5.45277,5.62671,0.4375,10.4443,1014.00604,0.0,0.78949,0.08122,0.0,0.02538,0.00508,0.05584,0.00508,0.03046,0.0,0.00508,2.46154,3.14286,3.44643,11.65625,2.80376,7.5625,62.25,0.56798,1.4321,0.71429,1.0,0.28571,0.21429,1.0,0.78571,0.57143,0.84425,0.05501,0.83631,0.05891,0.92878,0.01361,0.89045,0.04164,0.90321,0.04051,0.39655,0.49138,0.69828,"[0, 0, 0, 0, 0, 0]",1
0.02564,0.05128,0.53846,42.71548,0.46154,1.33333,2.79365,29.25,0.25641,3,4,117,0.05128,0.20513,0.06838,0.05983,0.00855,0.0,0.00855,410828.36508,4.75911,4.93913,9439.25,2.25625,2.25625,3.74075,3.74075,5.69193,5.80109,0.65217,10.18229,701.38477,0.01,0.71889,0.13675,0.00855,0.07692,0.0,0.05983,0.00855,0.04274,0.0,0.01709,3.0,1.33333,2.93333,10.43478,2.954,8.125,86.25,0.5522,1.16667,0.66667,0.66667,1.66667,2.0,3.0,3.5,2.66667,0.85529,0.05018,0.8531,0.0,0.86372,0.04026,0.86831,0.05933,0.87433,0.06384,0.46032,0.47619,0.85714,"[0, 0, 0, 0, 0, 0]",2
0.03571,0.05952,0.61111,43.783,0.38889,3.0,2.83117,16.8,0.34524,5,15,252,0.03571,0.17063,0.03175,0.01984,0.0,0.0,0.0119,489190.20779,4.64902,4.9046,4051.93333,2.54767,2.54767,2.8246,2.8246,5.54019,5.71981,0.57143,11.00435,1084.06082,0.0,0.74039,0.09127,0.0119,0.03571,0.0,0.05159,0.00794,0.03968,0.0,0.01587,5.0,1.92308,2.8375,9.42857,2.55145,7.1,37.73333,0.55921,1.57143,0.0,0.0,0.21429,0.20952,0.57143,0.54286,0.5,0.82451,0.04626,0.80749,0.04402,0.91501,0.01468,0.87815,0.03354,0.90128,0.03068,0.24675,0.53896,0.63636,"[0, 0, 0, 0, 0, 0]",3
0.07459,0.0663,0.61602,32.7519,0.38398,4.0,3.04036,18.1,0.33425,5,20,362,0.05525,0.14088,0.04972,0.0221,0.0,0.00552,0.01657,317096.38117,4.38226,4.58515,637.95,1.84055,1.84055,2.44285,2.26975,5.28236,5.4356,0.79592,10.9138,1378.21348,0.0,0.79954,0.07735,0.00552,0.03315,0.0,0.02762,0.0,0.02486,0.0,0.0221,3.11538,1.95,2.53571,7.4,2.76904,7.9,43.15,0.57794,1.60432,0.31579,1.36842,0.21053,0.21579,0.26316,0.37895,0.21053,0.7968,0.09296,0.76561,0.0716,0.89916,0.03519,0.85312,0.05413,0.88656,0.0468,0.28251,0.47534,0.62332,"[200, 200, 200, 200, 200, 1000]",4
0.075,0.04375,0.59375,29.9975,0.40625,1.75,3.02105,22.85714,0.34375,4,7,160,0.0375,0.13125,0.03125,0.025,0.0,0.0,0.00625,698765.51579,4.34471,4.69206,646.0,1.30343,1.30343,1.72371,1.72371,5.31574,5.54815,0.82353,10.38458,960.99631,0.0,0.77262,0.1,0.0,0.05,0.0,0.05625,0.0,0.03125,0.0,0.0,2.0,2.2,2.89583,7.0,2.69253,7.35714,51.85714,0.53272,1.46154,0.0,0.0,0.5,0.7619,0.66667,1.19048,0.5,0.80558,0.08636,0.80876,0.06684,0.90554,0.01618,0.85556,0.07017,0.86642,0.0745,0.31579,0.50526,0.68421,"[120, 120, 120, 120, 120, 600]",5
0.0875,0.04375,0.56875,26.0496,0.43125,2.75,3.04945,29.09091,0.28437,4,11,320,0.06563,0.15313,0.05,0.04688,0.0,0.0,0.00313,404164.05495,4.67043,4.8549,2406.09091,2.66245,2.66245,2.63527,2.63527,5.50763,5.6448,0.59574,11.54703,944.6503,0.0,0.71652,0.12812,0.0,0.0625,0.0,0.0625,0.0,0.05,0.0,0.00625,3.53571,2.77778,2.96471,8.5,2.95981,7.63636,83.27273,0.50313,1.31884,0.0,0.0,1.4,0.96364,2.5,1.98182,2.0,0.85388,0.05911,0.82833,0.07168,0.91398,0.01318,0.8928,0.0425,0.90546,0.04746,0.29121,0.50549,0.75824,"[160, 120, 80, 120, 80, 560]",6
0.04265,0.07583,0.59242,46.32096,0.40758,4.33333,2.792,16.23077,0.25592,3,13,211,0.11848,0.21801,0.07109,0.04739,0.0,0.00474,0.01896,507811.872,5.02746,4.93435,1922.84615,3.50515,3.50515,3.24208,3.24208,5.70843,5.65149,0.5,10.50366,1131.15079,0.02339,0.79509,0.12322,0.00948,0.05687,0.0,0.05213,0.00474,0.02844,0.0,0.00474,6.11111,2.33333,3.75926,9.34884,2.41959,7.76923,33.84615,0.55314,1.45349,0.33333,1.16667,0.08333,0.15385,0.5,0.5641,0.25,0.8228,0.10874,0.76701,0.12407,0.9504,0.00072,0.85722,0.0873,0.89733,0.06093,0.28,0.584,0.688,"[120, 120, 120, 120, 120, 600]",7
0.11896,0.04461,0.59851,8.61626,0.40149,2.5,3.34161,26.9,0.30855,4,10,269,0.0632,0.12639,0.0632,0.05948,0.0,0.0,0.00372,379398.73292,4.71896,4.82335,2941.4,3.1721,3.1721,3.3574,3.3574,5.5799,5.65784,0.78571,10.96988,1154.13233,0.0,0.77565,0.13755,0.00372,0.07807,0.0,0.05204,0.0,0.04089,0.0,0.01859,3.21875,2.5,3.67532,8.18519,2.95868,8.0,66.5,0.44659,1.49074,0.44444,1.0,0.77778,0.84444,1.22222,1.26667,1.22222,0.85179,0.02916,0.85299,0.05368,0.93153,0.01146,0.9035,0.02569,0.91906,0.02518,0.34783,0.57143,0.67081,"[160, 160, 160, 160, 120, 760]",8
0.10283,0.0437,0.62982,5.89926,0.37018,2.75,3.17959,35.36364,0.39589,4,11,389,0.0437,0.0874,0.05398,0.05141,0.0,0.00257,0.0,1140364.00816,3.9996,4.8048,1446.81818,1.88909,1.88909,2.63645,2.63645,5.07591,5.6056,1.4,11.35283,1128.82709,0.0,0.76217,0.11311,0.00257,0.06941,0.0,0.05141,0.00257,0.03085,0.0,0.00514,2.71053,2.0,3.0,8.88462,3.2635,7.59091,101.09091,0.48413,1.70139,0.0,0.0,1.6,1.0,2.5,1.85455,2.0,0.86887,0.02167,0.85839,0.02403,0.93959,0.00935,0.90749,0.02136,0.91813,0.02464,0.30612,0.37143,0.58776,"[200, 200, 200, 200, 200, 1000]",9
0.09677,0.04147,0.5576,15.63551,0.4424,1.5,3.18182,36.16667,0.26267,4,6,217,0.1106,0.15668,0.04608,0.04608,0.0,0.0,0.0,407684.7438,4.69995,4.78595,1538.0,1.94467,1.94467,3.00183,3.00183,5.67505,5.7401,0.48387,10.84049,1202.84409,0.01398,0.70754,0.1106,0.00461,0.05991,0.0,0.04147,0.0,0.02304,0.0,0.01382,3.47368,3.75,2.68421,8.23077,2.84627,8.08333,88.83333,0.44341,1.26042,1.2,2.2,3.6,3.53333,1.8,2.2,1.2,0.89819,0.03588,0.89537,0.01083,0.90584,0.02889,0.91745,0.04253,0.92188,0.0441,0.38843,0.58678,0.79339,"[160, 160, 120, 160, 120, 720]",10
0.12351,0.03984,0.60956,21.33017,0.39044,2.25,3.05229,27.88889,0.33068,4,9,251,0.06773,0.11554,0.05179,0.04781,0.0,0.0,0.00398,283214.13072,4.49527,4.78123,1713.88889,1.34867,1.34867,2.70467,2.38111,5.41113,5.5926,0.65385,10.74843,1335.81837,0.0,0.80336,0.11952,0.00398,0.08367,0.0,0.05578,0.00398,0.04781,0.0,0.00398,4.07143,2.75,2.77922,9.0,3.0921,7.16667,72.11111,0.48382,1.56122,0.0,0.0,0.25,0.80556,0.875,1.05556,0.625,0.84767,0.04739,0.83551,0.04921,0.91953,0.00897,0.88249,0.05517,0.89106,0.05692,0.30065,0.47712,0.64052,"[120, 120, 80, 80, 120, 520]",11
0.11864,0.0339,0.60533,14.61441,0.39467,3.25,3.14,31.76923,0.31235,4,13,413,0.05811,0.14044,0.0339,0.02906,0.0,0.0,0.00484,314761.804,4.71217,4.87337,1111.30769,2.29377,2.29377,2.73592,2.73592,5.57595,5.70731,0.50943,11.73684,969.18805,0.0,0.76471,0.10169,0.00242,0.05085,0.0,0.05811,0.0,0.04358,0.0,0.01211,5.21277,1.66667,3.29508,9.26531,3.02922,8.0,73.84615,0.45132,1.53374,0.0,0.0,0.91667,1.0,2.41667,1.89744,1.66667,0.85379,0.04325,0.84168,0.04854,0.94205,0.01603,0.89565,0.04145,0.91391,0.037,0.36,0.48,0.652,"[120, 120, 120, 160, 120, 640]",12
0.07451,0.07843,0.54902,-8.29478,0.45098,4.0,3.11429,63.75,0.2902,1,4,255,0.07059,0.10588,0.05882,0.03529,0.0,0.01176,0.01176,425113.97857,4.95817,5.08509,668.25,1.99575,1.99575,2.79375,2.79375,5.8188,5.90295,0.34615,11.92814,768.91894,0.00378,0.69205,0.10196,0.00784,0.05882,0.0,0.03529,0.00392,0.02745,0.0,0.0,3.73684,3.23077,4.08108,11.52174,4.18335,8.25,236.25,0.47804,1.21739,2.33333,2.33333,7.66667,8.5,10.33333,12.5,9.0,0.95308,0.00587,0.94591,0.00951,0.0,0.0,0.95642,0.00545,0.95868,0.00855,0.39286,0.35,0.82143,"[0, 0, 0, 0, 0, 0]",13
0.08088,0.04412,0.58824,29.25775,0.41176,1.0,3.025,22.66667,0.31618,6,6,136,0.04412,0.14706,0.06618,0.06618,0.0,0.0,0.0,264960.675,4.617,4.69088,2335.5,2.143,2.143,2.73883,2.73883,5.54739,5.61055,1.0,9.84183,1373.46567,0.0,0.78378,0.13235,0.0,0.08088,0.0,0.05147,0.0,0.04412,0.0,0.01471,5.0,2.25,3.95238,11.125,2.76569,7.25,55.83333,0.44827,1.42857,0.0,0.0,0.4,0.2,0.8,0.53333,0.4,0.84608,0.04367,0.83236,0.0,0.84608,0.04367,0.87147,0.05681,0.87714,0.05798,0.3375,0.35,0.7,"[120, 120, 120, 120, 120, 600]",14
0.08167,0.06175,0.58765,44.02773,0.41235,4.33333,2.80678,19.30769,0.25697,6,26,502,0.09761,0.18725,0.04183,0.01594,0.00199,0.00598,0.01793,694657.83051,4.65479,4.80957,207498.76923,2.83762,2.73127,2.91873,2.88231,5.49694,5.62696,0.49412,11.77496,1034.63579,0.00556,0.75933,0.10956,0.00996,0.0498,0.00199,0.05777,0.00598,0.06972,0.0,0.01594,4.25,2.29412,3.34167,10.31765,2.64809,7.71154,40.11538,0.63205,1.42512,0.2,1.2,0.36,0.26154,0.84,0.90769,0.64,0.81129,0.07269,0.79062,0.07021,0.91252,0.02619,0.87187,0.07106,0.90402,0.06123,0.2339,0.54576,0.70169,"[160, 200, 200, 200, 200, 960]",15
0.08974,0.02991,0.5641,18.53731,0.4359,1.8,3.25,26.0,0.31624,5,9,234,0.0812,0.12821,0.04274,0.04274,0.0,0.0,0.00427,171100.25758,4.55545,4.62638,397.55556,2.608,2.37811,2.56289,2.53222,5.48891,5.55554,0.80769,10.73645,1311.53021,0.0,0.77289,0.09402,0.0,0.05556,0.0,0.03419,0.00427,0.03419,0.0,0.00427,1.75,2.75,3.54688,8.30769,2.63423,7.33333,62.66667,0.44209,1.29412,0.125,1.25,1.0,0.66667,0.875,0.75,0.625,0.82375,0.0888,0.81424,0.06808,0.93561,0.00684,0.86929,0.05666,0.90063,0.05671,0.30303,0.51515,0.77273,"[200, 160, 200, 160, 120, 840]",16
0.0813,0.03252,0.5935,16.69805,0.4065,1.5,2.97945,41.0,0.31301,4,6,246,0.05691,0.16667,0.07724,0.07317,0.0,0.00407,0.0,408544.26027,4.63425,4.78227,729.83333,1.01267,1.01267,1.81867,1.81867,5.53857,5.64311,0.47222,11.2059,924.91437,0.0,0.74503,0.13821,0.0,0.0813,0.0,0.04472,0.0,0.02439,0.0,0.0122,3.2,2.5,2.95652,12.15152,3.44822,8.25,131.5,0.51052,1.46,0.0,0.0,0.6,1.33333,2.0,3.13333,1.4,0.83518,0.03603,0.84465,0.04404,0.90586,0.01534,0.88739,0.04233,0.89421,0.04551,0.21918,0.4863,0.68493,"[80, 80, 120, 80, 120, 480]",17
