adjective_ratio,adverbs,content_words,flesch,function_words,sentences_per_paragraph,syllables_per_content_word,words_per_sentence,noun_ratio,paragraphs,sentences,words,pronoun_ratio,verbs,logic_operators,and_ratio,if_ratio,or_ratio,negation_ratio,cw_freq,cw_freq_brwac,cw_freq_bra,min_cw_freq,min_cw_freq_brwac,min_freq_brwac,min_cw_freq_bra,min_freq_bra,freq_brwac,freq_bra,hypernyms_verbs,brunet,honore,personal_pronouns,ttr,conn_ratio,add_neg_conn_ratio,add_pos_conn_ratio,cau_neg_conn_ratio,cau_pos_conn_ratio,log_neg_conn_ratio,log_pos_conn_ratio,tmp_neg_conn_ratio,tmp_pos_conn_ratio,adjectives_ambiguity,adverbs_ambiguity,nouns_ambiguity,verbs_ambiguity,yngve,frazier,dep_distance,cross_entropy,content_density,adjacent_refs,anaphoric_refs,adj_arg_ovl,arg_ovl,adj_stem_ovl,stem_ovl,adj_cw_ovl,lsa_adj_mean,lsa_adj_std,lsa_all_mean,lsa_all_std,lsa_paragraph_mean,lsa_paragraph_std,lsa_givenness_mean,lsa_givenness_std,lsa_span_mean,lsa_span_std,negative_words,positive_words,ratio_function_to_content_words,grade,index_text
0.08727,0.04,0.58909,30.87964,0.41091,2.75,2.96914,25.0,0.29455,4,11,275,0.07273,0.16727,0.03636,0.03273,0.0,0.0,0.00727,294332.35185,4.52746,4.83386,2547.63636,2.11673,2.11673,2.473,2.473,5.41301,5.61296,0.52273,10.75855,1447.86199,0.00619,0.78858,0.09455,0.01455,0.03636,0.0,0.03636,0.01455,0.02909,0.0,0.00727,4.20833,5.0,3.28169,8.34286,2.86154,7.90909,57.81818,0.49498,1.43363,0.4,0.5,1.0,0.63636,1.1,0.85455,0.9,0.85667,0.05349,0.85245,0.06211,0.90593,0.03014,0.90303,0.04018,0.91601,0.03973,0.38272,0.69753,0.69753,"[0, 0, 0, 0, 0, 0]",0
0.08411,0.07944,0.56542,41.66411,0.43458,2.25,2.79339,23.77778,0.26636,4,9,214,0.08411,0.13551,0.06542,0.06075,0.0,0.0,0.00467,440915.54545,4.95468,5.09521,8318.44444,3.07233,3.07233,3.52189,3.52189,5.68412,5.82184,0.37931,10.80441,893.32528,0.0,0.8007,0.14019,0.01869,0.09346,0.00467,0.03738,0.01869,0.03738,0.0,0.00467,3.83333,4.66667,3.30357,12.85714,2.93876,7.22222,58.33333,0.49092,1.30108,0.0,0.0,0.25,0.5,0.75,0.83333,0.625,0.85001,0.03607,0.84337,0.04115,0.92172,0.01552,0.89039,0.04571,0.90173,0.04859,0.43802,0.56198,0.7686,"[0, 0, 0, 0, 0, 0]",1
0.05172,0.04598,0.61494,29.84496,0.38506,2.66667,2.96262,21.75,0.35632,3,8,174,0.05747,0.16092,0.04023,0.02299,0.0,0.0,0.01724,635154.60748,4.23316,4.6278,1433.25,1.62762,1.51875,2.16675,2.12162,5.16994,5.43052,0.5,10.14273,1593.27947,0.0,0.8004,0.0977,0.01149,0.02874,0.0,0.05747,0.00575,0.03448,0.0,0.00575,3.28571,2.0,3.0,11.04167,2.86443,7.25,56.375,0.55105,1.59701,0.0,0.0,0.14286,0.32143,0.57143,0.85714,0.14286,0.84367,0.08635,0.81203,0.11534,0.93528,0.00049,0.87082,0.0938,0.87698,0.09604,0.41121,0.63551,0.62617,"[40, 40, 40, 40, 40, 200]",2
0.02745,0.0549,0.50196,53.86255,0.49804,1.8,2.59375,28.33333,0.27451,5,9,255,0.05882,0.1451,0.02353,0.00784,0.0,0.00392,0.00392,738216.23438,4.92305,4.97894,2878.77778,2.12167,1.66922,2.44844,1.98578,5.77122,5.8578,0.48571,11.74734,818.22366,0.0,0.67346,0.08235,0.00392,0.02745,0.0,0.04706,0.0,0.04706,0.0,0.00784,1.42857,2.0,3.71212,12.9,2.98683,7.55556,67.44444,0.54627,1.00787,0.0,0.0,1.0,0.94444,1.625,2.25,1.0,0.86521,0.04023,0.85122,0.02416,0.91922,0.02295,0.89678,0.04187,0.90431,0.04359,0.26562,0.4375,0.99219,"[80, 80, 80, 40, 0, 280]",3
0.08333,0.03431,0.56863,30.729,0.43137,2.5,3.10345,20.4,0.28922,4,10,204,0.05392,0.16176,0.04412,0.02941,0.0,0.0,0.0098,731739.53448,4.66865,4.98459,1966.6,1.7448,1.7448,2.5631,2.5631,5.61211,5.84424,0.45161,11.17585,955.70903,0.00686,0.69895,0.10294,0.0049,0.03431,0.0049,0.06373,0.0049,0.04412,0.0,0.01961,2.88235,2.85714,4.48148,8.77778,2.75768,7.4,48.5,0.53712,1.31818,0.33333,0.44444,0.55556,0.42222,1.33333,1.44444,1.11111,0.82132,0.06619,0.82693,0.06009,0.93122,0.01772,0.88295,0.0565,0.89667,0.05853,0.5,0.37931,0.75862,"[0, 40, 0, 0, 0, 40]",4
0.05263,0.08612,0.57895,24.65967,0.42105,1.25,2.80992,41.8,0.29665,4,5,209,0.10048,0.14354,0.07177,0.04306,0.00478,0.00478,0.01914,544472.3719,4.74013,4.90319,194.2,0.9976,0.9976,1.6558,1.6558,5.61113,5.73003,0.44828,10.87984,827.72786,0.00909,0.73109,0.13397,0.00478,0.05742,0.0,0.06699,0.00478,0.05742,0.0,0.01435,3.81818,2.36364,3.41667,7.42308,3.33781,8.8,127.2,0.50542,1.375,1.25,2.25,2.0,1.5,2.25,4.1,2.0,0.90754,0.02086,0.89251,0.0,0.90771,0.02807,0.91651,0.0258,0.92043,0.02811,0.39669,0.57851,0.72727,"[80, 80, 80, 80, 80, 400]",5
0.05929,0.04743,0.58103,43.85676,0.41897,3.0,2.92517,21.08333,0.33202,4,12,253,0.0751,0.14229,0.03953,0.00791,0.0,0.00791,0.02372,400806.83673,4.74437,4.88613,1171.0,2.80175,2.80175,3.12175,3.12175,5.68636,5.79862,0.8,11.77698,785.41012,0.0,0.70234,0.05534,0.0,0.02372,0.0,0.03162,0.00395,0.03557,0.0,0.00791,3.57143,1.81818,3.33333,8.37931,3.11801,7.75,41.41667,0.52923,1.38679,0.0,0.0,1.09091,1.10606,0.90909,1.16667,0.90909,0.85105,0.03874,0.84418,0.05608,0.94387,0.03078,0.89802,0.04229,0.9172,0.04567,0.35374,0.41497,0.72109,"[120, 120, 80, 80, 80, 480]",6
0.0613,0.04981,0.56705,22.64828,0.43295,1.8,3.16892,29.0,0.27203,5,9,261,0.06897,0.18391,0.04598,0.02682,0.00383,0.00383,0.01149,368093.47297,4.77641,4.77417,1224.66667,2.962,2.718,2.93589,2.93311,5.68987,5.74449,0.5,11.43845,973.18766,0.00494,0.75346,0.09195,0.00766,0.04215,0.00383,0.03831,0.01149,0.03448,0.0,0.00766,3.6875,3.36364,3.91304,10.15,2.85094,7.44444,71.33333,0.46609,1.30973,0.0,0.125,0.5,1.02778,1.875,2.13889,0.625,0.88491,0.04917,0.88213,0.07098,0.92625,0.03262,0.92196,0.05077,0.92699,0.05153,0.55405,0.60811,0.76351,"[160, 160, 160, 200, 120, 800]",7
0.07722,0.03475,0.56371,26.72788,0.43629,1.75,2.90411,37.0,0.30116,4,7,259,0.0888,0.15058,0.05019,0.03089,0.00386,0.00386,0.00772,372186.05479,4.73848,4.84436,820.0,1.84929,1.84929,2.38586,2.38586,5.63795,5.7149,0.45946,11.0804,1103.22275,0.0125,0.76269,0.09266,0.00772,0.05019,0.0,0.05019,0.0,0.04633,0.0,0.0,2.15,2.16667,3.06849,11.33333,2.90158,7.28571,107.57143,0.49451,1.29204,0.0,1.0,0.5,1.2381,3.66667,3.33333,1.33333,0.88713,0.01878,0.8938,0.00475,0.94982,0.00888,0.92336,0.02623,0.92598,0.02786,0.39041,0.64384,0.77397,"[120, 120, 80, 80, 0, 400]",8
0.07362,0.03374,0.58282,33.72403,0.41718,2.75,2.84737,29.63636,0.33129,4,11,326,0.02761,0.14417,0.02454,0.0092,0.00307,0.0,0.0092,544669.16316,4.52971,4.80759,3786.63636,1.90282,1.90282,2.07455,2.00555,5.51223,5.6872,0.64444,11.66451,1005.28704,0.0,0.71189,0.06748,0.0,0.02147,0.0,0.04294,0.0,0.04294,0.0,0.0092,3.29167,2.2,2.79787,10.25,3.16433,8.13636,75.27273,0.52332,1.39706,0.0,0.0,1.8,1.21818,3.8,2.41818,2.6,0.84488,0.07587,0.83707,0.07325,0.91197,0.00473,0.89203,0.04103,0.90543,0.04405,0.47368,0.41053,0.71579,"[160, 120, 80, 160, 120, 640]",9
